Tallinna Kakumäe Selveri pakiautomaat,59.428507,24.626459
Kehtna Coop kaupluse pakiautomaat,58.925931,24.871609
Tallinna Läänemere Rimi pakiautomaat,59.450785,24.861406
Tallinna Sõle Rimi (Paavli 10) pakiautomaat,59.446831,24.701836
Tallinna Mustakivi Keskuse pakiautomaat,59.442406,24.874044
Antsla postkontor,57.829043,26.529298
Tallinna Pelgulinna Selveri pakiautomaat,59.444612,24.700754
Tallinna Balti Jaama pakiautomaat,59.439673,24.736745
Pirita postkontor,59.468976,24.834973
Paistu postipunkt,58.271411,25.629211
Tallinna Ehitajate tee Maxima XXX pakiautomaat,59.420604,24.651429
Keila Grossi pakiautomaat,59.312293,24.417616
Märjamaa postkontor,58.903772,24.427775
Laagri Coop Maksimarketi pakiautomaat,59.341743,24.614282
Värska postipunkt,57.957979,27.633784
Püssi postipunkt,59.363319,27.040165
Häädemeeste Coop Konsumi pakiautomaat,58.078554,24.498367
Võsu postkontor,59.575815,25.960992
Jõhvi postkontor,59.357694,27.418224
Tallinna Valdeku Maxima X pakiautomaat,59.376315,24.712072
Antsla Coop Konsumi pakiautomaat,57.828535,26.529708
Kuressaare Smuuli Coop Konsumi pakiautomaat,58.262219,22.485307
Tallinna Sõpruse Rimi pakiautomaat,59.414724,24.707578
Tallinna Merimetsa Selveri pakiautomaat,59.430016,24.697194
Oisu postipunkt,58.757114,25.565153
Tabivere Saadjärve Coop kaupluse pakiautomaat,58.551919,26.599997
Tabivere postkontor,58.551959,26.600014
Ulvi postipunkt,59.324873,26.6306
Mustla postipunkt,58.234933,25.866224
Räpina postipunkt,58.097239,27.464795
Elva Turuplatsi Coop Konsumi pakiautomaat,58.220997,26.408695
Iisaku Grossi pakiautomaat,59.094808,27.314466
Tartu Kvartali Keskuse pakiautomaat,58.376914,26.728903
Pürksi postkontor,59.006707,23.52103
Kallaste postkontor,58.662407,27.161628
Tallinna Kadaka Selveri pakiautomaat,59.412235,24.666952
Haljala Grossi pakiautomaat,59.433851,26.266466
Roosna-Alliku postipunkt,59.0299,25.708606
Võru kesklinna Circle K pakiautomaat,57.842166,27.00698
Jõhvi Grossi pakiautomaat,59.353167,27.412086
Mustvee Coop Konsumi pakiautomaat,58.847951,26.944813
Koeru Vallamaja pakiautomaat,58.962392,26.024799
Pärnu Turu pakiautomaat,58.38221,24.50958
Kõrgessaare postipunkt,58.982051,22.471855
Viru-Nigula postipunkt,59.447138,26.689319
Kunda Grossi pakiautomaat,59.500489,26.518565
Jõhvi Jewe kaubanduskeskuse pakiautomaat,59.357304,27.417864
Elva postkontor,58.221024,26.406515
Rõngu Coop Konsumi pakiautomaat,58.144093,26.248487
